FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,PLZ,KINDERGRUPPE,FAMILIE_0_6,FAMILIE_3_10,HEILPAED_HORT_6_10,HEILPAED_KDG_3_6,HORT_6_10,INTEGRAT_FAMILIE_0_6,INTEGRAT_FAMILIE_3_10,INTEGRAT_HORT_6_10,INTEGRAT_KDG_3_6,INTEGRAT_KLEINKINDER_0_3,KDG_3_6,HALBTAGS_KDG_3_6,KLEINKINDER_0_3,STRASSE,ONR,STG,MA11_OBJEKT_ID,FAMILIE_2_6,INTEGRAT_FAMILIE_2_6,SE_ANNO_CAD_DATA
KINDERGARTENOGD.7283219,7283219,POINT (16.462526677497817 48.22255402740983),Kindergruppe Papa Carlo,Kindergruppe Papa Carlo,"22., Hartlebengasse 1-17/43",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Hartlebengasse,1-17,43,2000824,,,
KINDERGARTENOGD.7283220,7283220,POINT (16.3665532159448 48.25740388125639),Däumeling 1,Kindergarten Däumeling,"19., Heiligenstädter Straße 175",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1190,14,,,,,,,,,,,,,,Heiligenstädter Straße,175,,2000825,,,
KINDERGARTENOGD.7283221,7283221,POINT (16.53905964581927 48.211944123330206),Smiley Kids IV,Verein Kindergruppe Smiley Kids,"22., Haffnergasse 56",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Haffnergasse,56,,2000826,,,
KINDERGARTENOGD.7283222,7283222,POINT (16.481909945958982 48.23896118652145),Minismiles 3,Kindergruppen MiniSmiles,"22., Prinzgasse 7a",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Prinzgasse,7a,,2000827,,,
KINDERGARTENOGD.7283223,7283223,POINT (16.48188680061595 48.23896472320107),Minismiles 4,Kindergruppen MiniSmiles,"22., Prinzgasse 7b",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Prinzgasse,7b,,2000828,,,
KINDERGARTENOGD.7283224,7283224,POINT (16.53903284638186 48.21193823515151),Smiley Kids III,Verein Kindergruppe Smiley Kids,"22., Haffnergasse 56/EG",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Haffnergasse,56,EG,2000829,,,
KINDERGARTENOGD.7283225,7283225,POINT (16.387318034353616 48.28719334891341),Große Oase,Verein Kinder- und Elterntreff,"21., Berlagasse 1/901",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1210,14,,,,,,,,,,,,,,Berlagasse,1,901,2000830,,,
KINDERGARTENOGD.7283226,7283226,POINT (16.363980066188866 48.168406329081684),Mini Art 4,Kindergruppe Mini Art,"10., Neilreichgasse 82",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,0660/700 30 49,1100,14,,,,,,,,,,,,,,Neilreichgasse,82,,2000831,,,
KINDERGARTENOGD.7283227,7283227,POINT (16.375447477410457 48.17136822132858),Kindergruppe Kids Art,Kindergruppe Kids Art,"10., Leibnizgasse 45",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1100,14,,,,,,,,,,,,,,Leibnizgasse,45,,2000834,,,
KINDERGARTENOGD.7283228,7283228,POINT (16.391212158095684 48.291028162088686),KinderRäume,Kindergruppe und Privatschule montessori&more,"21., Mühlweg 85",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1210,14,,,,,,,,,,,,,,Mühlweg,85,,2000835,,,
KINDERGARTENOGD.7283229,7283229,POINT (16.439239478839404 48.26081803473411),Sonne 2,KinderGruppe Sonne,"22., Kurt-Ohnsorg-Weg 2/19",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Kurt-Ohnsorg-Weg,2,19,2000837,,,
KINDERGARTENOGD.7283230,7283230,POINT (16.38437220750687 48.16862943328957),Laaerberg 1,Verein Kindergruppe  Spiel & Spaß,"10., Laaer-Berg-Straße 32/901",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,0699/132 98 399,1100,14,,,,,,,,,,,,,,Laaer-Berg-Straße,32,901,2000838,,,
KINDERGARTENOGD.7283231,7283231,POINT (16.38437220750687 48.16862943328957),Laaerberg 2,Verein Kindergruppe  Spiel & Spaß,"10., Laaer-Berg-Straße 32/901",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,0660/508 83 59,1100,14,,,,,,,,,,,,,,Laaer-Berg-Straße,32,901,2000839,,,
KINDERGARTENOGD.7283232,7283232,POINT (16.33386652585386 48.21299558068263),goldkrümel,Verein Wiener Kindergruppen,"16., Schellhammergasse 24",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1160,12,,,,,,,,,,,,,,Schellhammergasse,24,,2000840,,,
KINDERGARTENOGD.7283233,7283233,POINT (16.37355190059027 48.18998509130162),Caroline 2,Kindergruppe Caroline,"4., Karolinengasse 28",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1040,14,,,,,,,,,,,,,,Karolinengasse,28,,2000844,,,
KINDERGARTENOGD.7283234,7283234,POINT (16.326078098038998 48.20974575592647),Wirbelwind,Kleinkindergruppe Wirbelwind,"16., Ganglbauergasse 34",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1160,14,,,,,,,,,,,,,,Ganglbauergasse,34,,2000853,,,
KINDERGARTENOGD.7283235,7283235,POINT (16.402865630204786 48.194163523757496),Amina 4,Kindergruppe Kinderlachen Wien,"3., Baumgasse 55",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1030,14,,,,,,,,,,,,,,Baumgasse,55,,2000855,,,
KINDERGARTENOGD.7283237,7283237,POINT (16.248540259959128 48.218261520222974),Little Paradise,Kindergruppe Little Paradise,"14., Hüttelbergstraße 167",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1140,14,,,,,,,,,,,,,,Hüttelbergstraße,167,,2000857,,,
KINDERGARTENOGD.7283238,7283238,POINT (16.44268315227979 48.27104677859472),Kindergruppe Little Lambs,Verein Kindergruppe Little Lambs- Verein zur Förderung von Kindern in Vorschul- und Schulalter,"21., Dominik-Wölfel-Gasse 17",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1210,14,,,,,,,,,,,,,,Dominik-Wölfel-Gasse,17,,2000859,,,
KINDERGARTENOGD.7283239,7283239,POINT (16.27687155375808 48.14841434981228),Little People,Kindergruppe Little People,"23., Maurer Lange Gasse 8",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1230,14,,,,,,,,,,,,,,Maurer Lange Gasse,8,,2000860,,,
