FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.1,1,"LINESTRING (16.31670417833581 48.2218045400587, 16.316616147554292 48.221835829488214)",Stöberplatz,7.4089263,
OEFFGRUENLINGOGD.2,2,"LINESTRING (16.317397401597585 48.22156114603211, 16.317479910022303 48.22153260431899)",Stöberplatz,6.90362376,
OEFFGRUENLINGOGD.3,3,"LINESTRING (16.31700225239376 48.22114175643573, 16.316969418832873 48.22110007580293)",Stöberplatz,5.23764027,
OEFFGRUENLINGOGD.4,4,"LINESTRING (16.316440782065087 48.22134007805864, 16.316407449791033 48.22129776406351)",Stöberplatz,5.31721772,
OEFFGRUENLINGOGD.5,5,"LINESTRING (16.31224098103693 48.22261287684552, 16.312283732483387 48.22269073403367)",Kongreßpark,9.22177908,
OEFFGRUENLINGOGD.6,6,"LINESTRING (16.31163464075956 48.22271953080142, 16.31166421324822 48.22279992958245)",Kongreßpark,9.20608302,
OEFFGRUENLINGOGD.7,7,"LINESTRING (16.294324244493424 48.21517066228621, 16.294360571840553 48.21512799749362)",Katharinenru*,5.45848585,
OEFFGRUENLINGOGD.8,8,"LINESTRING (16.361541595111976 48.25980072427149, 16.36146370804677 48.25976918203959)",Pfarrer-Mits*,6.76363146,
OEFFGRUENLINGOGD.9,9,"LINESTRING (16.36180311816246 48.259635605811646, 16.361747241275037 48.25959515207671)",Pfarrer-Mits*,6.11949564,
OEFFGRUENLINGOGD.10,10,"LINESTRING (16.312592522904833 48.21564608021007, 16.312407007435223 48.21566921939455)",Mildeplatz,14.02453152,
OEFFGRUENLINGOGD.11,11,"LINESTRING (16.31953915696947 48.210396774947085, 16.319511240036153 48.21031928484971)",Schuhmeierpl*,8.86283601,
OEFFGRUENLINGOGD.12,12,"LINESTRING (16.319047767643948 48.21029074574901, 16.318978228999594 48.2103016504586)",Schuhmeierpl*,5.30860544,
OEFFGRUENLINGOGD.13,13,"LINESTRING (16.33377847956626 48.205775767987, 16.33376897176113 48.20589800580978)",Ludo-Hartman*,13.61063845,
OEFFGRUENLINGOGD.14,14,"LINESTRING (16.301969845102892 48.223306215501694, 16.30203400576963 48.22324208453838)",Park Spinoza*,8.57788691,
OEFFGRUENLINGOGD.15,15,"LINESTRING (16.303986270907686 48.21388364721814, 16.30398396850877 48.213957078493436)",Karl-Kantner*,8.16702194,
OEFFGRUENLINGOGD.16,16,"LINESTRING (16.305956423145027 48.21443641517268, 16.30557605529828 48.21438010768198, 16.305408566144134 48.214316548917715, 16.305120633068544 48.21427544048851, 16.305094583901013 48.214183534094055, 16.304987307552235 48.213774580403815, 16.303986270907686 48.21388364721814, 16.303981323376195 48.21404926492435, 16.303994935646084 48.214288102979694, 16.3040286798326 48.214328045645274, 16.305129027745373 48.21441258855342, 16.305451172347723 48.2144014332849, 16.305486308286547 48.21459873024111, 16.306668066119297 48.21451528946346, 16.305956423145027 48.21443641517268, 16.30595660609291 48.21443650695087)",Karl-Kantner*,517.50617028,
OEFFGRUENLINGOGD.17,17,"LINESTRING (16.306314569408844 48.214476110674724, 16.306316631214248 48.21452199704601)",Karl-Kantner*,5.10465986,
OEFFGRUENLINGOGD.18,18,"LINESTRING (16.287053435444953 48.20847573964942, 16.287089982628927 48.20848187597583)",Steinhofer P*,2.80075322,
OEFFGRUENLINGOGD.19,19,"LINESTRING (16.356825055198136 48.253897674678406, 16.35682033460212 48.2539625958586)",HeiligenstäP*,7.22750119,
OEFFGRUENLINGOGD.20,20,"LINESTRING (16.334309764551488 48.219397022572466, 16.33433312875637 48.219448225477194)",Pezzlpark,5.95236759,
OEFFGRUENLINGOGD.21,21,"LINESTRING (16.30745088050722 48.20080091538962, 16.30744511462167 48.2007239079759)",Ordeltpark,8.5735805,
OEFFGRUENLINGOGD.22,22,"LINESTRING (16.32048068813548 48.24110029152646, 16.32043896500379 48.24098069258756)",Dr.-Meißner-*,13.65525343,
OEFFGRUENLINGOGD.23,23,"LINESTRING (16.321574208860735 48.240901214178564, 16.321544335923395 48.24081077643957)",Dr.-Meißner-*,10.29820749,
OEFFGRUENLINGOGD.24,24,"LINESTRING (16.356162341702362 48.245208623300044, 16.35594196670879 48.24523534062172)",Setagayapark,16.63506039,
OEFFGRUENLINGOGD.25,25,"LINESTRING (16.343755651348218 48.245318520817534, 16.34362615802463 48.24523905093649)",Strauss-Lann*,13.06092583,
OEFFGRUENLINGOGD.26,26,"LINESTRING (16.34862857443814 48.242925509932896, 16.34880411571596 48.24289482854454)",Richard-Eybn*,13.47729956,
OEFFGRUENLINGOGD.27,27,"LINESTRING (16.301706642298768 48.23601906447556, 16.30173812065545 48.23601965842715)",Hans-Bock-Pa*,2.33930322,
OEFFGRUENLINGOGD.28,28,"LINESTRING (16.30457589987266 48.2290421000624, 16.30460299612656 48.22906363976266)",Josef-Kaderk*,3.12878112,
OEFFGRUENLINGOGD.29,29,"LINESTRING (16.244808006289237 48.20773893793525, 16.244818642325004 48.20779095393189)",Franz-Sauer-*,5.83771666,
OEFFGRUENLINGOGD.30,30,"LINESTRING (16.40335404272021 48.22680019103734, 16.403457067522044 48.226858354124936)",Mexikopark,10.02102474,
OEFFGRUENLINGOGD.31,31,"LINESTRING (16.318677428849423 48.190265094627314, 16.318664560700256 48.190152292704724)",Gustav-Jäger*,12.57945404,
OEFFGRUENLINGOGD.32,32,"LINESTRING (16.31561991589188 48.19061918584754, 16.315403307379338 48.190672735853596)",Gustav-Jäger*,17.17052093,
OEFFGRUENLINGOGD.33,33,"LINESTRING (16.30539205951284 48.188091908327344, 16.30539946418326 48.188171528978366)",Hadikpark,8.87052293,
OEFFGRUENLINGOGD.34,34,"LINESTRING (16.378096499505226 48.24002056938556, 16.37775352630005 48.23987337427408)",Park Stromst*,30.28057565,
OEFFGRUENLINGOGD.35,35,"LINESTRING (16.256127674374465 48.20231333952676, 16.256073176811487 48.20223133411819)",Karl-Terkal-*,9.97797312,
OEFFGRUENLINGOGD.36,36,"LINESTRING (16.267456855404102 48.19673048221876, 16.26747900787646 48.19676620291897)",Cossmanngasse,4.29984772,
OEFFGRUENLINGOGD.37,37,"LINESTRING (16.269007252891384 48.19629480863277, 16.26903252576576 48.1963355607508)",Cossmanngasse,4.90550954,
OEFFGRUENLINGOGD.38,38,"LINESTRING (16.319199463267793 48.19101969322513, 16.319271626308797 48.19112958364778)",Gustav-Jäger*,13.34531347,
OEFFGRUENLINGOGD.39,39,"LINESTRING (16.320101681375863 48.190237568714664, 16.320108414862947 48.19010127761976)",Gustav-Jäger*,15.16316363,
OEFFGRUENLINGOGD.40,40,"LINESTRING (16.32023142560285 48.19070297960607, 16.320311149713557 48.19082438082484)",Gustav-Jäger*,14.74328532,
OEFFGRUENLINGOGD.41,41,"LINESTRING (16.360554688269694 48.21546288460753, 16.360377997981974 48.21553674792482)",Sigmund-Freu*,15.48783044,
OEFFGRUENLINGOGD.42,42,"LINESTRING (16.359519002730327 48.214984623771855, 16.359765083032393 48.21488186412323)",Votivpark,21.56383574,
OEFFGRUENLINGOGD.43,43,"LINESTRING (16.36395896492281 48.20986087995767, 16.363924606832924 48.20991561535627)",Minoritenpla*,6.60031869,
OEFFGRUENLINGOGD.44,44,"LINESTRING (16.36433567334496 48.20945911584034, 16.364416873653475 48.20949537969932)",Minoritenpla*,7.25825917,
OEFFGRUENLINGOGD.45,45,"LINESTRING (16.362034948267347 48.209595717478074, 16.362120983208555 48.209630129270906)",Volksgarten,7.45183907,
OEFFGRUENLINGOGD.46,46,"LINESTRING (16.36314260745768 48.208334306485135, 16.363261333614258 48.20841387615592)",Volksgarten,12.4960794,
OEFFGRUENLINGOGD.47,47,"LINESTRING (16.3036013699507 48.19644046934232, 16.303766362886908 48.19645428977496)",Matzner-Park,12.36184752,
OEFFGRUENLINGOGD.48,48,"LINESTRING (16.303753524971903 48.196013417212015, 16.303847504780325 48.19602128924146)",Matzner-Park,7.04135272,
